	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
lst1	27867.50881004334	-1985160.4474925997	6546332.799682617	-33519.436797142036	-49938.25246334076	-3901.834472656251	-4403.345797538758
ms4a1	22314110.16845703	-49260.63290786744	-4489.4196281433115	-43536.04537487031	-16249.754499435427	-1.3553833961486819	-1701.545493602753
lipa	-2487.349074184895	-61239.124360084534	8096.834871411325	-15729.723148584368	28382.319867134098	8027.292697429657	-8338.522552728653
h3f3b	-1830734.1482677462	2214369.4569396973	25322.15506196022	4050035.3296508794	-1833802.8921461108	-85553.15914344788	-53098.8988249898
rac2	1196010.2508544922	-490913.6781349183	-329433.5314178467	-1537086.8494796753	-253653.32979583743	-1535.0461468696597	1959208.8704605103
zeb2	-100623.22446823122	517406.9044113159	-129798.65456199649	-19207.05209732056	36291.1672103405	-15930.339734077454	166134.25881958008
s100a4	-505584.07897949225	-177783.93184185028	6205797.586090088	-18764.034162923694	143070.36320066452	-10567.450622558594	-168491.32894039154
lrrc25	-236.065012216568	46736.71890854836	319200.2414245606	-146.81467795372012	-28.6925305724144	-275.9830255508423	-65.56365108489992
asah1	10113.895921111107	22873.21450126171	219131.24720287323	-21241.23313808441	-81000.39307212831	-19839.71429395676	51428.27573776246
sh3bgrl	-3451.3546245694165	-6603.945688605309	-13476.373471021654	173470.91452217102	-389465.8294773102	1580.2118803262713	146009.11574554446
c6orf62	90244.79416847229	-161987.1759643555	115805.21450042725	-147155.2226314545	714744.5022125244	-6543.919437408447	-306398.81641864777
il2rg	41243.296807408326	-13388.924177885057	-51318.301677703865	548729.4563388824	802889.1313934326	39.259918600320816	-366753.17702865606
evi2b	971197.641609192	-729284.0426559449	519598.4584274292	446628.90927982336	-408629.13928413397	-4619.216817855836	-68957.48096466066
c2orf68	-167526.57808876038	-21577.73743867874	148734.532913208	-36077.4094195366	28593.191881179813	-266.0480680465699	3030.261804580689
tpp1	-158818.16949939728	181188.45141458514	16479.659972906113	50847.59961605073	-117392.76287460327	34587.479833602905	10556.318653821947
pip4k2a	-13951.06344163418	-9808.060220122337	-44559.5464515686	-98431.92757272722	81803.33675336838	24393.44300079346	255024.084854126
ncl	-53324.85141396523	210580.11773300174	-110660.21235179903	-370536.6060829163	355899.72687530523	-1098.0767250061037	163711.0115604401
